&FCI NMODE= 3, NBOSON= 3
&END
1.0000000000 1 1 1 1 
0.5000000000 1 2 1 2 
0.5000000000 1 2 2 1 
0.2500000000 1 3 1 3 
0.3535533906 1 3 2 2 
0.2500000000 1 3 3 1 
0.5000000000 2 1 1 2 
0.5000000000 2 1 2 1 
0.3535533906 2 2 1 3 
0.5000000000 2 2 2 2 
0.3535533906 2 2 3 1 
0.3750000000 2 3 2 3 
0.3750000000 2 3 3 2 
0.2500000000 3 1 1 3 
0.3535533906 3 1 2 2 
0.2500000000 3 1 3 1 
0.3750000000 3 2 2 3 
0.3750000000 3 2 3 2 
0.3750000000 3 3 3 3 
&FCI NMODE= 3, NBOSON= 3
&END
1.0000000000 1 1 1 1 
0.5000000000 1 2 1 2 
0.5000000000 1 2 2 1 
0.2500000000 1 3 1 3 
0.3535533906 1 3 2 2 
0.2500000000 1 3 3 1 
0.5000000000 2 1 1 2 
0.5000000000 2 1 2 1 
0.3535533906 2 2 1 3 
0.5000000000 2 2 2 2 
0.3535533906 2 2 3 1 
0.3750000000 2 3 2 3 
0.3750000000 2 3 3 2 
0.2500000000 3 1 1 3 
0.3535533906 3 1 2 2 
0.2500000000 3 1 3 1 
0.3750000000 3 2 2 3 
0.3750000000 3 2 3 2 
0.3750000000 3 3 3 3 
